log_text,component,failure_mode,component_id,failure_mode_id
Maintenance log: drive belt electrical fault.,Drive Belt,Power Failure,0,2
"The belt tool wear ratio exceeded limits, tool is extremely dull. Operations are affected, check ASAP.",Drive Belt,Tool Wear Failure,0,0
"operator says conveyor blt voltag surge tripped the breaker, no power to the HPU today.",Drive Belt,Power Failure,0,2
"somthing grinding in the hydraulics block area, check for power fluctuation, voltage.",Hydraulic Pump,Power Failure,1,2
"vibrating way more than normal near the chuck motor, replace tool, wear.",CNC Spindle,Tool Wear Failure,2,0
"keeps stopping every few minutes, bearign is unidentified fault, machine.",Bearing Assembly,Random Failure,3,4
"thing near spinle temperature spike detected, cooling fan seems broken.",CNC Spindle,Heat Dissipation Failure,2,1
the back casing is stalled again. please check.,Motor Housing,Overstrain Failure,4,3
"vibrating way more than normal near the hydrualic pump, replace tool, wear.",Hydraulic Pump,Tool Wear Failure,1,0
Operator reports: 'housing cant hold pressure.',Motor Housing,Overstrain Failure,4,3
"vibrating way more than normal near the spindle casing, jammed housing, torque.",CNC Spindle,Overstrain Failure,2,3
Operator reports: 'spindle casing oil everywhere.',CNC Spindle,Random Failure,2,4
"somthing grinding in the tension pulley area, check for power fluctuation, voltage.",Drive Belt,Power Failure,0,2
"oil everywhere near the conveyor, suspect jammed drive, motor.",Drive Belt,Overstrain Failure,0,3
"the poly-v blt is is jammed, high torque reading triggered emergency stop again. please check.",Drive Belt,Overstrain Failure,0,3
"oil everywhere near the hpu, suspect mechanical jam, torque.",Hydraulic Pump,Overstrain Failure,1,3
Maintenance log: drive belt grinding noise.,Drive Belt,Overstrain Failure,0,3
"bearing kit no power supply,.",Bearing Assembly,Power Failure,3,2
"tensioner belt cant hold pressure, seems like electrical breaker failed,.",Drive Belt,Power Failure,0,2
"Inspection reveals that the drive belt is completely worn out, tool wear value is critical.",Drive Belt,Tool Wear Failure,0,0
"somthing grinding in the bearing area, check for seized shaft, gears.",Bearing Assembly,Overstrain Failure,3,3
"bearign cant hold pressure, seems like intermittent connection issue,.",Bearing Assembly,Random Failure,3,4
Inspection reveals that the hydraulics seized up.,Hydraulic Pump,Overstrain Failure,1,3
CRITICAL: fluid line blown fuse in immediately!,Hydraulic Pump,Power Failure,1,2
pump unit stuck.,Hydraulic Pump,Overstrain Failure,1,3
"its hot and shaking alot near the back unit, check for electrical fault, voltage.",Motor Housing,Power Failure,4,2
"The tensioner breaker tripped. Operations are affected, check ASAP.",Drive Belt,Power Failure,0,2
"hydraulic line cant hold pressure, seems like stalled drive shaft,.",Hydraulic Pump,Overstrain Failure,1,3
"operator says hydraulics tempurature is at 98 degrees C, thermal snesor alert today.",Hydraulic Pump,Heat Dissipation Failure,1,1
"vibrating way more than normal near the tension pulley, tool worn down.",Drive Belt,Tool Wear Failure,0,0
the blt area is stalled again. please check.,Drive Belt,Overstrain Failure,0,3
operator says pmp stops randomly today.,Hydraulic Pump,Random Failure,1,4
Inspection reveals that the drive belt shut down with unexplained error code ERR-404.,Drive Belt,Random Failure,0,4
"keeps stopping every few minutes, hydraulics area is voltage surge tripped.",Hydraulic Pump,Power Failure,1,2
"Standard check: back unit temp is way too hot, casing is smoking during run.",Motor Housing,Heat Dissipation Failure,4,1
"Operator reports: 'driv belt unidentified glitch, controller went offline.'",Drive Belt,Random Failure,0,4
"vibrating way more than normal near the shaft bearing, intermittent connection faults,.",Bearing Assembly,Random Failure,3,4
"vibrating way more than normal near the spindle casing, temp is way.",CNC Spindle,Heat Dissipation Failure,2,1
"CRITICAL: spindle head jammed drive, motor immediately!",CNC Spindle,Overstrain Failure,2,3
"vibrating way more than normal near the hydrualic pump, intermittent connection faults,.",Hydraulic Pump,Random Failure,1,4
"The spindle head breaker tripped. Operations are affected, check ASAP.",CNC Spindle,Power Failure,2,2
"thing near outer shell fuse blown, voltage surge detected on line.",Motor Housing,Power Failure,4,2
"its hot and shaking alot near the drive belt, check for temperature spiked to.",Drive Belt,Heat Dissipation Failure,0,1
"Maintenance log: bearing block severe overheating, ventilation duct is blocked.",Bearing Assembly,Heat Dissipation Failure,3,1
"thing near spinle fuse blown, voltage surge detected on line.",CNC Spindle,Power Failure,2,2
"its hot and shaking alot near the CNC spindle, check for torque overload, mechanical.",CNC Spindle,Overstrain Failure,2,3
"somthing grinding in the tension pulley area, check for abnormal heat buildup,.",Drive Belt,Heat Dissipation Failure,0,1
"leaking or snapped near the drive belt, controller board rebooted suspected.",Drive Belt,Random Failure,0,4
"spinle cant hold pressure, seems like smells like burning.",CNC Spindle,Heat Dissipation Failure,2,1
"weird smell from the belt unit, possibly electrical arc damage.",Drive Belt,Power Failure,0,2
"Warning: bearign cannot rotate, drive shaft is seized and smells weird.",Bearing Assembly,Overstrain Failure,3,3
"Standard check: hpu power failure, electrical breaker tripped in the cabinet during run.",Hydraulic Pump,Power Failure,1,2
"Standard check: spndl is overheating rapidly, thermal camera shows 95C during run.",CNC Spindle,Heat Dissipation Failure,2,1
Standard check: shaft bearing shut down with unexplained error code ERR-404 during run.,Bearing Assembly,Random Failure,3,4
"keeps stopping every few minutes, housing unit is tool wear min.",Motor Housing,Tool Wear Failure,4,0
"leaking or snapped near the casing shield, casing temp too suspected.",Motor Housing,Heat Dissipation Failure,4,1
"The spindle head hot. Operations are affected, check ASAP.",CNC Spindle,Heat Dissipation Failure,2,1
Inspection reveals that the motor area no power.,Motor Housing,Power Failure,4,2
"Operator reports: 'assembly bearings smoke coming from unit, cooling failed.'",Bearing Assembly,Heat Dissipation Failure,3,1
CRITICAL: spindle head dull blade / immediately!,CNC Spindle,Tool Wear Failure,2,0
"weird smell from the back casing unit, possibly breaker tripped, power.",Motor Housing,Power Failure,4,2
"leaking or snapped near the belts, gears seized up, suspected.",Drive Belt,Overstrain Failure,0,3
"its hot and shaking alot near the drive belt, check for unexplained halt, system.",Drive Belt,Random Failure,0,4
"keeps stopping every few minutes, hydraulic unit is stuck assembly, drive.",Hydraulic Pump,Overstrain Failure,1,3
"thing near back casing jammed housing, torque spikes to max.",Motor Housing,Overstrain Failure,4,3
"leaking or snapped near the motor casing, stalled motor, torque suspected.",Motor Housing,Overstrain Failure,4,3
"hpu random shutdown, no.",Hydraulic Pump,Random Failure,1,4
"Inspection reveals that the CNC spindle lost power completely, voltage dropped to zero.",CNC Spindle,Power Failure,2,2
"its hot and shaking alot near the housing, check for temperature spiked to.",Motor Housing,Heat Dissipation Failure,4,1
"oil everywhere near the tool head, suspect unexplained sensor fault,.",CNC Spindle,Random Failure,2,4
"keeps stopping every few minutes, hydraulic unit is thermal overload tripped.",Hydraulic Pump,Heat Dissipation Failure,1,1
tool head stopped.,CNC Spindle,Random Failure,2,4
"The bearing housing breaker tripped. Operations are affected, check ASAP.",Bearing Assembly,Power Failure,3,2
"oil everywhere near the assembly bearings, suspect glitch in sensor.",Bearing Assembly,Random Failure,3,4
the hydraulics area is fuse popped again. please check.,Hydraulic Pump,Power Failure,1,2
"the casing is intermittent communication loss, control panel fault again. please check.",Motor Housing,Random Failure,4,4
Warning: spindle motor thermal overload and smells weird.,CNC Spindle,Heat Dissipation Failure,2,1
"housing cant hold pressure, seems like lost voltage, mains.",Motor Housing,Power Failure,4,2
"The back unit breaker tripped. Operations are affected, check ASAP.",Motor Housing,Power Failure,4,2
"Standard check: back unit glitchy controls, random error triggered safety loop during run.",Motor Housing,Random Failure,4,4
"its hot and shaking alot near the cnc head, check for warn out tool,.",CNC Spindle,Tool Wear Failure,2,0
"weird smell from the tensioner unit, possibly unidentified glitch, controller.",Drive Belt,Random Failure,0,4
"Warning: hydraulic line sudden voltage drop, machine stopped mid-cycle and smells weird.",Hydraulic Pump,Power Failure,1,2
"Warning: spinle tool is dull and worn, needs replacement immediately and smells weird.",CNC Spindle,Tool Wear Failure,2,0
"bearign cant hold pressure, seems like severe mechanical stress,.",Bearing Assembly,Overstrain Failure,3,3
"somthing grinding in the HPU unit area, check for sudden voltage drop,.",Hydraulic Pump,Power Failure,1,2
Maintenance log: bearign grinding noise.,Bearing Assembly,Overstrain Failure,3,3
"Standard check: shaft bearing stuck and seized up, overstrain torque limit exceeded during run.",Bearing Assembly,Overstrain Failure,3,3
"oil everywhere near the conveyor, suspect temperature is at.",Drive Belt,Heat Dissipation Failure,0,1
"keeps stopping every few minutes, hydraulics area is stalled mid-operation, high.",Hydraulic Pump,Overstrain Failure,1,3
"CRITICAL: tensioner overheating alert, cooling immediately!",Drive Belt,Heat Dissipation Failure,0,1
Inspection reveals that the cnc head overheating.,CNC Spindle,Heat Dissipation Failure,2,1
"belts assembly making wierd noise, feels like blown power relay,.",Drive Belt,Power Failure,0,2
Maintenance log: CNC spindle grinding noise.,CNC Spindle,Overstrain Failure,2,3
"housing cant hold pressure, seems like severe mechanical stress,.",Motor Housing,Overstrain Failure,4,3
"The fluid line jammed. Operations are affected, check ASAP.",Hydraulic Pump,Overstrain Failure,1,3
operator says blt stops randomly today.,Drive Belt,Random Failure,0,4
"belts assembly cant hold pressure, seems like intermittent connection issue,.",Drive Belt,Random Failure,0,4
the back casnig is smoking again. please check.,Motor Housing,Heat Dissipation Failure,4,1
"thing near bearings area temperature spike detected, cooling fan seems broken.",Bearing Assembly,Heat Dissipation Failure,3,1
"Warning: bearign tool is dull and worn, needs replacement immediately and smells weird.",Bearing Assembly,Tool Wear Failure,3,0
"vibrating way more than normal near the assembly bearings, mains power failure,.",Bearing Assembly,Power Failure,3,2
"thing near spinle random glitch, machine rebooted spontaneously.",CNC Spindle,Random Failure,2,4
"operator says conveyor blt stalled mid-operation, high friction toqrue overload today.",Drive Belt,Overstrain Failure,0,3
tool head stuck.,CNC Spindle,Overstrain Failure,2,3
"weird smell from the tensioner unit, possibly breaker tripped, power.",Drive Belt,Power Failure,0,2
"Inspection reveals that the hydraulic pump is overheating rapidly, thermal camera shows 95C.",Hydraulic Pump,Heat Dissipation Failure,1,1
"weird smell from the back casing unit, possibly unidentified glitch, controller.",Motor Housing,Random Failure,4,4
Operator reports: 'hydraulics block slipping and worn.',Hydraulic Pump,Tool Wear Failure,1,0
Inspection reveals that the conveyor belt broke again.,Drive Belt,Random Failure,0,4
"leaking or snapped near the spindle assembly, worn tool bit, suspected.",CNC Spindle,Tool Wear Failure,2,0
"The belt random glitch, machine rebooted spontaneously. Operations are affected, check ASAP.",Drive Belt,Random Failure,0,4
"keeps stopping every few minutes, housing unit is severe overheating, ventilation.",Motor Housing,Heat Dissipation Failure,4,1
"Operator reports: 'hydrualic pump warn out tool, wear min is at critical levels.'",Hydraulic Pump,Tool Wear Failure,1,0
"oil everywhere near the bearing kit, suspect temperature is at.",Bearing Assembly,Heat Dissipation Failure,3,1
"the bearings is experiencing severe pitting, tool wear min reading is at maximum again. please check.",Bearing Assembly,Tool Wear Failure,3,0
"weird smell from the bearing kit unit, possibly stalled under torque.",Bearing Assembly,Overstrain Failure,3,3
"Inspection reveals that the motor housing is completely worn out, tool wear value is critical.",Motor Housing,Tool Wear Failure,4,0
"vibrating way more than normal near the casing, glitchy controls, random.",Motor Housing,Random Failure,4,4
operator says pmp smoking slightly today.,Hydraulic Pump,Heat Dissipation Failure,1,1
"Warning: tensioner belt heating up fast, temperature is at critical 105C and smells weird.",Drive Belt,Heat Dissipation Failure,0,1
"the hydrualic unit is fuse blown, voltage surge detected on line again. please check.",Hydraulic Pump,Power Failure,1,2
"weird smell from the back casing unit, possibly torque reading exceeded.",Motor Housing,Overstrain Failure,4,3
"Inspection reveals that the hydraulic pump lost power completely, voltage dropped to zero.",Hydraulic Pump,Power Failure,1,2
"weird smell from the spindle head unit, possibly severe tool wear.",CNC Spindle,Tool Wear Failure,2,0
"The pump tool wear ratio exceeded limits, tool is extremely dull. Operations are affected, check ASAP.",Hydraulic Pump,Tool Wear Failure,1,0
Warning: spindle motor cannot rotate and smells weird.,CNC Spindle,Overstrain Failure,2,3
Maintenance log: bearing block severe tool wear detected on inspection.,Bearing Assembly,Tool Wear Failure,3,0
"Standard check: back unit severe mechanical stress, spindle seized up during run.",Motor Housing,Overstrain Failure,4,3
"oil everywhere near the bearing kit, suspect blown fuse in.",Bearing Assembly,Power Failure,3,2
"thing near pump unit jammed housing, torque spikes to max.",Hydraulic Pump,Overstrain Failure,1,3
Operator reports: 'bearing kit lost power.',Bearing Assembly,Power Failure,3,2
the back casnig is keeps stopping again. please check.,Motor Housing,Random Failure,4,4
"its hot and shaking alot near the CNC spindle, check for unexplained halt, system.",CNC Spindle,Random Failure,2,4
"oil everywhere near the assembly bearings, suspect ventilation shaft blocked,.",Bearing Assembly,Heat Dissipation Failure,3,1
"Standard check: housing shield tool wear ratio exceeded limits, tool is extremely dull during run.",Motor Housing,Tool Wear Failure,4,0
"vibrating way more than normal near the shaft bearing, overstrain torque overload,.",Bearing Assembly,Overstrain Failure,3,3
"Operator reports: 'driv belt electrical fault, voltage supply lines went dead.'",Drive Belt,Power Failure,0,2
"keeps stopping every few minutes, motor casing is no voltage reading.",Motor Housing,Power Failure,4,2
"the bearings is intermittent communication loss, control panel fault again. please check.",Bearing Assembly,Random Failure,3,4
"keeps stopping every few minutes, chuck is tool wear min.",CNC Spindle,Tool Wear Failure,2,0
"somthing grinding in the tension pulley area, check for seized shaft, gears.",Drive Belt,Overstrain Failure,0,3
"keeps stopping every few minutes, hydraulic unit is unidentified fault, machine.",Hydraulic Pump,Random Failure,1,4
"bearing assembly making wierd noise, feels like stalled motor, torque.",Bearing Assembly,Overstrain Failure,3,3
"keeps stopping every few minutes, spindle unit is unidentified fault, machine.",CNC Spindle,Random Failure,2,4
"weird smell from the pump unit, possibly tool wear value.",Hydraulic Pump,Tool Wear Failure,1,0
"keeps stopping every few minutes, bearings is tool wear min.",Bearing Assembly,Tool Wear Failure,3,0
"thing near tool head mains power failure, backup generator running.",CNC Spindle,Power Failure,2,2
"leaking or snapped near the bearing block, hot casing, smoke suspected.",Bearing Assembly,Heat Dissipation Failure,3,1
"the hydrualic unit is experiencing severe pitting, tool wear min reading is at maximum again. please check.",Hydraulic Pump,Tool Wear Failure,1,0
"Operator reports: 'chuck motor warn out tool, wear min is at critical levels.'",CNC Spindle,Tool Wear Failure,2,0
"oil everywhere near the v-belt, suspect fuse pop, power.",Drive Belt,Power Failure,0,2
"The belt stuck and seized up, overstrain torque limit exceeded. Operations are affected, check ASAP.",Drive Belt,Overstrain Failure,0,3
"thing near back casing hot casing, smoke visible, cooling system down.",Motor Housing,Heat Dissipation Failure,4,1
"oil everywhere near the pump unit, suspect temperature is at.",Hydraulic Pump,Heat Dissipation Failure,1,1
"spindle motor making wierd noise, feels like high tool wear.",CNC Spindle,Tool Wear Failure,2,0
"The pump stuck and seized up, overstrain torque limit exceeded. Operations are affected, check ASAP.",Hydraulic Pump,Overstrain Failure,1,3
motor casing stalled under heavy.,Motor Housing,Overstrain Failure,4,3
"somthing grinding in the bearing housing area, check for thermal runaway warning,.",Bearing Assembly,Heat Dissipation Failure,3,1
"The bearing temperature spike detected, cooling fan seems broken. Operations are affected, check ASAP.",Bearing Assembly,Heat Dissipation Failure,3,1
"Warning: hydraulic line heating up fast, temperature is at critical 105C and smells weird.",Hydraulic Pump,Heat Dissipation Failure,1,1
"its hot and shaking alot near the drive belt, check for breaker trips instantly.",Drive Belt,Power Failure,0,2
"its hot and shaking alot near the CNC spindle, check for breaker trips instantly.",CNC Spindle,Power Failure,2,2
"weird smell from the fluid line unit, possibly severe tool wear.",Hydraulic Pump,Tool Wear Failure,1,0
thing near back casing controller board rebooted randomly during cycle.,Motor Housing,Random Failure,4,4
"pressure gauge cant hold pressure, seems like overheating alert, cooling.",Hydraulic Pump,Heat Dissipation Failure,1,1
"vibrating way more than normal near the hydrualic pump, overstrain torque overload,.",Hydraulic Pump,Overstrain Failure,1,3
"somthing grinding in the spindle casing area, check for intermittent signal loss.",CNC Spindle,Random Failure,2,4
"casing shield making wierd noise, feels like is hot to.",Motor Housing,Heat Dissipation Failure,4,1
"keeps stopping every few minutes, bearign is stuck assembly, drive.",Bearing Assembly,Overstrain Failure,3,3
"ball bearings making wierd noise, feels like is hot to.",Bearing Assembly,Heat Dissipation Failure,3,1
"vibrating way more than normal near the outer shell, temp sensor reading.",Motor Housing,Heat Dissipation Failure,4,1
"housing cant hold pressure, seems like overheating alert, cooling.",Motor Housing,Heat Dissipation Failure,4,1
"vibrating way more than normal near the chuck motor, temp sensor reading.",CNC Spindle,Heat Dissipation Failure,2,1
"housing unit making wierd noise, feels like random failure code.",Motor Housing,Random Failure,4,4
housing unit stopped.,Motor Housing,Random Failure,4,4
tool head voltage dropped.,CNC Spindle,Power Failure,2,2
"thing near tensioner belt temperature spike detected, cooling fan seems broken.",Drive Belt,Heat Dissipation Failure,0,1
"tensioner belt cant hold pressure, seems like tool wears out.",Drive Belt,Tool Wear Failure,0,0
"leaking or snapped near the bearing block, high tool wear suspected.",Bearing Assembly,Tool Wear Failure,3,0
"The bearing housing hot. Operations are affected, check ASAP.",Bearing Assembly,Heat Dissipation Failure,3,1
Maintenance log: drive belt weird smell.,Drive Belt,Heat Dissipation Failure,0,1
"its hot and shaking alot near the conveyor belt, check for electrical fault, voltage.",Drive Belt,Power Failure,0,2
bearing stuck.,Bearing Assembly,Overstrain Failure,3,3
"its hot and shaking alot near the drive belt, check for worn tool causing.",Drive Belt,Tool Wear Failure,0,0
"oil everywhere near the housign, suspect excessive wear on.",Motor Housing,Tool Wear Failure,4,0
"Maintenance log: bearing block torque reading exceeded 85 Nm, mechanical jam detected.",Bearing Assembly,Overstrain Failure,3,3
"somthing grinding in the tension pulley area, check for intermittent signal loss.",Drive Belt,Random Failure,0,4
"weird smell from the bearing kit unit, possibly tool wear value.",Bearing Assembly,Tool Wear Failure,3,0
"Standard check: v-belt tool wear ratio exceeded limits, tool is extremely dull during run.",Drive Belt,Tool Wear Failure,0,0
"vibrating way more than normal near the shaft bearing, voltage drop under.",Bearing Assembly,Power Failure,3,2
"thing near tool head tool worn down to the nub, replace now.",CNC Spindle,Tool Wear Failure,2,0
"keeps stopping every few minutes, chuck is random trip, control.",CNC Spindle,Random Failure,2,4
Maintenance log: CNC spindle weird smell.,CNC Spindle,Heat Dissipation Failure,2,1
"Operator reports: 'assembly bearings stuck due to high friction, torque limit reached.'",Bearing Assembly,Overstrain Failure,3,3
"casing shield making wierd noise, feels like no power supply,.",Motor Housing,Power Failure,4,2
Inspection reveals that the motor area worn out.,Motor Housing,Tool Wear Failure,4,0
"somthing grinding in the bearing area, check for intermittent signal loss.",Bearing Assembly,Random Failure,3,4
"Standard check: hydraulics area lost voltage, mains power failed during tool run during run.",Hydraulic Pump,Power Failure,1,2
"somthing grinding in the belts area, check for sudden voltage drop,.",Drive Belt,Power Failure,0,2
"weird smell from the spindle unit, possibly tool wear value.",CNC Spindle,Tool Wear Failure,2,0
Warning: motor housing pitting and smells weird.,Motor Housing,Tool Wear Failure,4,0
"Operator reports: 'hydrualic pump unidentified glitch, controller went offline.'",Hydraulic Pump,Random Failure,1,4
Maintenance log: casing weird noise.,Motor Housing,Random Failure,4,4
"keeps stopping every few minutes, bearings is stalled mid-operation, high.",Bearing Assembly,Overstrain Failure,3,3
"belts assembly cant hold pressure, seems like tool wear min.",Drive Belt,Tool Wear Failure,0,0
"Standard check: ball bearings temp is way too hot, casing is smoking during run.",Bearing Assembly,Heat Dissipation Failure,3,1
operator says spinle tool is warn out completely today.,CNC Spindle,Tool Wear Failure,2,0
"vibrating way more than normal near the casing, mains power failure,.",Motor Housing,Power Failure,4,2
"housing unit making wierd noise, feels like high tool wear.",Motor Housing,Tool Wear Failure,4,0
"oil everywhere near the v-belt, suspect glitch in sensor.",Drive Belt,Random Failure,0,4
"thing near outer shell experiencing severe pitting, tool wear min reading is at maximum.",Motor Housing,Tool Wear Failure,4,0
"pressure gauge making wierd noise, feels like high tool wear.",Hydraulic Pump,Tool Wear Failure,1,0
"somthing grinding in the bearing area, check for abnormal heat buildup,.",Bearing Assembly,Heat Dissipation Failure,3,1
"oil everywhere near the pump unit, suspect jammed drive, motor.",Hydraulic Pump,Overstrain Failure,1,3
"somthing grinding in the motor housing area, check for tool wear is.",Motor Housing,Tool Wear Failure,4,0
"Inspection reveals that the bearing assembly lost power completely, voltage dropped to zero.",Bearing Assembly,Power Failure,3,2
"bearing block cant hold pressure, seems like unexplained shutdown during.",Bearing Assembly,Random Failure,3,4
"its hot and shaking alot near the housing, check for torque overload, mechanical.",Motor Housing,Overstrain Failure,4,3
"chuck motor making wierd noise, feels like intermittent communication loss,.",CNC Spindle,Random Failure,2,4
"belts assembly making wierd noise, feels like stalled motor, torque.",Drive Belt,Overstrain Failure,0,3
"thing near tensioner belt experiencing severe pitting, tool wear min reading is at maximum.",Drive Belt,Tool Wear Failure,0,0
"leaking or snapped near the casing shield, gears seized up, suspected.",Motor Housing,Overstrain Failure,4,3
"keeps stopping every few minutes, hydraulics area is severe overheating, ventilation.",Hydraulic Pump,Heat Dissipation Failure,1,1
"motor casing random shutdown, no.",Motor Housing,Random Failure,4,4
"Warning: spinle sudden voltage drop, machine stopped mid-cycle and smells weird.",CNC Spindle,Power Failure,2,2
CRITICAL: bearing block is completely worn immediately!,Bearing Assembly,Tool Wear Failure,3,0
CRITICAL: bearing block is completely seized immediately!,Bearing Assembly,Overstrain Failure,3,3
Operator reports: 'spindle casing hot and shaking.',CNC Spindle,Heat Dissipation Failure,2,1
"vibrating way more than normal near the spindle casing, glitchy controls, random.",CNC Spindle,Random Failure,2,4
"thing near hydraulic line random glitch, machine rebooted spontaneously.",Hydraulic Pump,Random Failure,1,4
"the bearings is fuse blown, voltage surge detected on line again. please check.",Bearing Assembly,Power Failure,3,2
"somthing grinding in the bearing area, check for power fluctuation, voltage.",Bearing Assembly,Power Failure,3,2
"Maintenance log: outer shell torque reading exceeded 85 Nm, mechanical jam detected.",Motor Housing,Overstrain Failure,4,3
"belts assembly making wierd noise, feels like random failure code.",Drive Belt,Random Failure,0,4
"CRITICAL: motor area intermittent connection issue, immediately!",Motor Housing,Random Failure,4,4
"oil everywhere near the spndl, suspect fuse pop, power.",CNC Spindle,Power Failure,2,2
"keeps stopping every few minutes, spindle unit is thermal overload tripped.",CNC Spindle,Heat Dissipation Failure,2,1
CRITICAL: spindle unit abnormal heat immediately!,CNC Spindle,Heat Dissipation Failure,2,1
"vibrating way more than normal near the assembly bearings, glitchy controls, random.",Bearing Assembly,Random Failure,3,4
"Standard check: ball bearings tool wear min critical, pitting visible on the contact point during run.",Bearing Assembly,Tool Wear Failure,3,0
CRITICAL: motor area blown fuse in immediately!,Motor Housing,Power Failure,4,2
Warning: motor housing leaking and smells weird.,Motor Housing,Random Failure,4,4
"housing shield cant hold pressure, seems like smells like burning.",Motor Housing,Heat Dissipation Failure,4,1
"oil everywhere near the tool head, suspect jammed drive, motor.",CNC Spindle,Overstrain Failure,2,3
"leaking or snapped near the belts, casing temp too suspected.",Drive Belt,Heat Dissipation Failure,0,1
"oil everywhere near the conveyor, suspect blown fuse in.",Drive Belt,Power Failure,0,2
Maintenance log: hydraulic pump weird noise.,Hydraulic Pump,Random Failure,1,4
Inspection reveals that the motor housing shut down with unexplained error code ERR-404.,Motor Housing,Random Failure,4,4
the blt area is keeps stopping again. please check.,Drive Belt,Random Failure,0,4
CRITICAL: bearings area dull blade / immediately!,Bearing Assembly,Tool Wear Failure,3,0
"keeps stopping every few minutes, motor casing is unidentified fault, machine.",Motor Housing,Random Failure,4,4
"hydraulic line cant hold pressure, seems like electrical breaker failed,.",Hydraulic Pump,Power Failure,1,2
"bearing block cant hold pressure, seems like tool wears out.",Bearing Assembly,Tool Wear Failure,3,0
"its hot and shaking alot near the hydraulics, check for unexplained behavior, machine.",Hydraulic Pump,Random Failure,1,4
Operator reports: 'bearing kit oil everywhere.',Bearing Assembly,Random Failure,3,4
Warning: spindle motor pitting and smells weird.,CNC Spindle,Tool Wear Failure,2,0
"spindle motor cant hold pressure, seems like intermittent connection issue,.",CNC Spindle,Random Failure,2,4
Inspection reveals that the conveyor belt no power.,Drive Belt,Power Failure,0,2
"pressure gauge making wierd noise, feels like stalled motor, torque.",Hydraulic Pump,Overstrain Failure,1,3
"thing near hydraulic line is jammed, high torque reading triggered emergency stop.",Hydraulic Pump,Overstrain Failure,1,3
"oil everywhere near the spndl, suspect excessive wear on.",CNC Spindle,Tool Wear Failure,2,0
"keeps stopping every few minutes, bearings is voltage surge tripped.",Bearing Assembly,Power Failure,3,2
"Standard check: belt area severe mechanical stress, spindle seized up during run.",Drive Belt,Overstrain Failure,0,3
the blt area is fuse popped again. please check.,Drive Belt,Power Failure,0,2
"keeps stopping every few minutes, bearign is dull cutting tool,.",Bearing Assembly,Tool Wear Failure,3,0
"Warning: hydraulic line unexplained behavior, machine stops randomly and smells weird.",Hydraulic Pump,Random Failure,1,4
"the poly-v blt is is hot to the touch, smoke coming out of housing again. please check.",Drive Belt,Heat Dissipation Failure,0,1
"weird smell from the spindle head unit, possibly torque reading exceeded.",CNC Spindle,Overstrain Failure,2,3
"leaking or snapped near the motor casing, blown power relay, suspected.",Motor Housing,Power Failure,4,2
"bearing assembly making wierd noise, feels like blown power relay,.",Bearing Assembly,Power Failure,3,2
"Standard check: ball bearings glitchy controls, random error triggered safety loop during run.",Bearing Assembly,Random Failure,3,4
"driv belt making wierd noise, feels like wear value too.",Drive Belt,Tool Wear Failure,0,0
"leaking or snapped near the bearings area, gears seized up, suspected.",Bearing Assembly,Overstrain Failure,3,3
"the casing is is hot to the touch, smoke coming out of housing again. please check.",Motor Housing,Heat Dissipation Failure,4,1
"keeps stopping every few minutes, hydraulics area is random trip, control.",Hydraulic Pump,Random Failure,1,4
"leaking or snapped near the hydraulic pump, controller board rebooted suspected.",Hydraulic Pump,Random Failure,1,4
"ball bearings making wierd noise, feels like no power supply,.",Bearing Assembly,Power Failure,3,2
"weird smell from the bearing unit, possibly smoke coming from.",Bearing Assembly,Heat Dissipation Failure,3,1
"its hot and shaking alot near the hydraulic pump, check for worn tool causing.",Hydraulic Pump,Tool Wear Failure,1,0
"operator says shaft bearign unexplained senosr fautl, error code ERR-502 today.",Bearing Assembly,Random Failure,3,4
"keeps stopping every few minutes, bearings is random trip, control.",Bearing Assembly,Random Failure,3,4
"Operator reports: 'chuck motor stuck due to high friction, torque limit reached.'",CNC Spindle,Overstrain Failure,2,3
"ball bearings making wierd noise, feels like intermittent communication loss,.",Bearing Assembly,Random Failure,3,4
"Standard check: hydraulics area tool wear min critical, pitting visible on the contact point during run.",Hydraulic Pump,Tool Wear Failure,1,0
"The housing random glitch, machine rebooted spontaneously. Operations are affected, check ASAP.",Motor Housing,Random Failure,4,4
Warning: bearings thermal overload and smells weird.,Bearing Assembly,Heat Dissipation Failure,3,1
pump unit stopped.,Hydraulic Pump,Random Failure,1,4
"leaking or snapped near the HPU unit, worn tool bit, suspected.",Hydraulic Pump,Tool Wear Failure,1,0
"its hot and shaking alot near the back unit, check for stuck due to.",Motor Housing,Overstrain Failure,4,3
"Warning: hydraulic line cannot rotate, drive shaft is seized and smells weird.",Hydraulic Pump,Overstrain Failure,1,3
"Operator reports: 'hydrualic pump stuck due to high friction, torque limit reached.'",Hydraulic Pump,Overstrain Failure,1,3
"the casing is is jammed, high torque reading triggered emergency stop again. please check.",Motor Housing,Overstrain Failure,4,3
bearing kit wear value too.,Bearing Assembly,Tool Wear Failure,3,0
"Inspection reveals that the bearing assembly is completely worn out, tool wear value is critical.",Bearing Assembly,Tool Wear Failure,3,0
Warning: pressure gauge pitting and smells weird.,Hydraulic Pump,Tool Wear Failure,1,0
"oil everywhere near the tool head, suspect dull blade /.",CNC Spindle,Tool Wear Failure,2,0
"leaking or snapped near the bearing block, blown power relay, suspected.",Bearing Assembly,Power Failure,3,2
